job title,company name,job type,job location,job link
Production Engineer,ABCO Group  -,On-site,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.net/jobs/p/PaboNB5DCeXY-Production-Engineer-ABCO-Group-Alexandria-Egypt
Receptionist For Real Estate,SAK Developments -,On-site,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/1zXLtxZtynkT-Receptionist-For-Real-Estate-SAK-Developments-Cairo-Egypt
Business Development Executive,GetPayin -,Remote,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/p/7GeYZcMEMBlm-Business-Development-Executive-GetPayin-Cairo-Egypt
Accountant,Sumitomo Electric Egypt -,On-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/p/U5HyDh6PZkKv-Accountant-Sumitomo-Electric-Egypt-Cairo-Egypt
Senior Architect Site Engineer,EGYGAB Developments -,On-site,"North Coast, Alexandria, Egypt",https://wuzzuf.net/jobs/p/tZWF4kyXJgJS-Senior-Architect-Site-Engineer-EGYGAB-Developments-Alexandria-Egypt
Collection Officer,Vision Cosmetics -,On-site,"Cairo, Egypt",https://wuzzuf.net/jobs/p/E2BEI7sLH0S1-Collection-Officer-Vision-Cosmetics-Cairo-Egypt
Graphic Designer,Achilles -,Hybrid,"Cairo, Egypt",https://wuzzuf.net/jobs/p/l1Pc4JmqUS2P-Graphic-Designer-Achilles-Cairo-Egypt
Recruitment Manager,ServiceFirst CX  -,On-site,"Cairo, Egypt",https://wuzzuf.net/jobs/p/ZUQzJ4WWqNEF-Recruitment-Manager-ServiceFirst-CX-Cairo-Egypt
Senior Mechanical-Site Engineer,Raafat Miller Consulting -,On-site,"Giza, Egypt",https://wuzzuf.net/jobs/p/ZPG5OFVbrWe3-Senior-Mechanical-Site-Engineer-Raafat-Miller-Consulting-Giza-Egypt
Electrical Facility Maintenance Engineer,Zewail City -,On-site,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/KMUQb3ffNTzo-Electrical-Facility-Maintenance-Engineer-Zewail-City-Giza-Egypt
Senior IT Support Specialist – Microsoft Dynamics & Security Systems,Seldar Egypt -,On-site,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/nZ7eoV5Lrf5w-Senior-IT-Support-Specialist-–-Microsoft-Dynamics-Security-Systems-Seldar-Egypt-Cairo-Egypt
Quality Control Engineer,Frank Noe Egypt  -,On-site,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/nggaSQiM2ReT-Quality-Control-Engineer-Frank-Noe-Egypt-Giza-Egypt
Business Analyst,Fixed Solutions -,Hybrid,"Cairo, Egypt",https://wuzzuf.net/jobs/p/gXepgW6jTLhr-Business-Analyst-Fixed-Solutions-Cairo-Egypt
Maintenance Engineer - 6th Of October City,Frank Noe Egypt  -,On-site,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/81TAKzqc8LM4-Maintenance-Engineer---6th-Of-October-City-Frank-Noe-Egypt-Giza-Egypt
Compensation & Benefits Senior Specialist,Ship & C.R.E.W  -,On-site,"Stanley, Alexandria, Egypt",https://wuzzuf.net/jobs/p/DetYFFBQY76T-Compensation-Benefits-Senior-Specialist-Ship-C-R-E-W-Alexandria-Egypt
Junior Trade Finance,SIPES -,On-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/p/wrENpAdwqc1T-Junior-Trade-Finance-SIPES-Cairo-Egypt
Executive Secretary,Perfect Agencies Co. -,On-site,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/0YS1hCBNJxwp-Executive-Secretary-Perfect-Agencies-Co-Cairo-Egypt
Distribution Section Head,Cairo Three A  Poultry  -,On-site,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/yHvW241mChQ0-Distribution-Section-Head-Cairo-Three-A-Poultry-Cairo-Egypt
Sales Engineer,Zamil Steel Buildings Co -,On-site,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/nFNH3wmlrhIK-Sales-Engineer-Zamil-Steel-Buildings-Co-Giza-Egypt
Scrum Master,WUZZUF -,Hybrid,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/67lgTlfZg86Q-Scrum-Master-WUZZUF-Cairo-Egypt
